SAT Composite Score,2018,2017,2016,2015,2014,2013,2012,2011
400,1-,1-,1-,,,,,
410,1-,1-,1-,,,,,
420,1-,1-,1-,,,,,
430,1-,1-,1-,,,,,
440,1-,1-,1-,,,,,
450,1-,1-,1-,,,,,
460,1-,1-,1-,,,,,
470,1-,1-,1-,,,,,
480,1-,1-,1-,,,,,
490,1-,1-,1-,,,,,
500,1-,1-,1-,,,,,
510,1-,1-,1-,,,,,
520,1-,1-,1-,,,,,
530,1-,1-,1-,,,,,
540,1-,1-,1-,,,,,
550,1-,1-,1-,,,,,
560,1-,1-,1-,,,,,
570,1-,1-,1-,,,,,
580,1-,1-,1-,,,,,
590,1-,1-,1-,,,,,
600,1-,1-,1-,,,,,
610,1-,1-,1-,1-,1-,1-,1-,1- 
620,1-,1-,1-,1-,1-,1-,1-,1- 
630,1-,1-,1-,1-,1-,1-,1-,1- 
640,1,1,1-,1-,1-,1-,1-,1- 
650,1,1,1,1-,1-,1-,1-,1- 
660,1,1,1,1-,1-,1-,1-,1- 
670,1,1,1,1-,1-,1-,1-,1- 
680,1,1,1,1-,1-,1-,1-,1- 
690,2,2,2,1-,1-,1-,1-,1- 
700,2,2,2,1-,1-,1-,1-,1- 
710,3,3,2,1-,1-,1-,1-,1- 
720,3,3,2,1-,1-,1-,1-,1- 
730,4,4,3,1-,1-,1-,1-,1- 
740,4,4,3,1-,1-,1-,1-,1- 
750,5,5,4,1,1,1-,1-,1- 
760,6,6,4,1,1,1-,1-,1- 
770,7,7,5,1,1,1,1-,1- 
780,8,8,6,1,1,1,1,1 
790,9,8,7,1,1,1,1,1 
800,10,9,7,1,1,1,1,1 
810,11,11,8,1,1,1,1,1 
820,12,12,9,1,1,1,1,1 
830,13,13,10,1,1,1,1,1 
840,14,14,11,2,1,1,1,1 
850,15,15,12,2,2,1,1,1 
860,17,17,13,2,2,2,1,1 
870,18,18,14,2,2,2,2,2 
880,20,19,15,2,2,2,2,2 
890,21,21,16,2,2,2,2,2 
900,23,22,18,3,2,2,2,2 
910,24,24,19,3,3,3,2,2 
920,26,26,20,3,3,3,3,2 
930,27,27,22,3,3,3,3,3 
940,29,29,24,4,3,3,3,3 
950,31,31,25,4,4,3,3,3 
960,32,32,27,4,4,4,4,3 
970,34,34,29,5,4,4,4,4 
980,36,36,30,5,5,4,4,4 
990,37,38,32,5,5,5,5,4 
1000,39,40,34,6,5,5,5,5 
1010,41,41,36,6,6,5,5,5 
1020,43,43,38,7,6,6,6,5 
1030,45,45,40,7,6,6,6,6 
1040,47,47,42,7,7,7,7,6 
1050,49,49,44,8,7,7,7,7 
1060,51,51,46,9,8,8,7,7 
1070,52,53,48,9,8,8,8,8 
1080,54,55,50,10,9,9,9,8 
1090,56,57,52,10,10,9,9,9 
1100,58,59,55,11,10,10,9,9 
1110,60,61,57,12,11,11,10,10 
1120,62,63,58,12,11,11,10,11 
