Scholar ID,Gender,Black or African American,Hispanic or Latinx,Native Hawaiian or Pacific Islander,Asian,American Indian or Alaska Native,White,Family Income,Family Size,Federal Poverty Level Percentage,First Generation College Student,High School,High School Graduation Year,HS Unweighted GPA,HS Weighted GPA,Class Rank,Class Size,SAT Math,SAT Critical Reading,SAT Total,Scholar Status,Scholar Secondary Status,Last Renewal Date,Cohort,SA Cohort,Completed SA as Junior,Completed SA as Senior,# SA Cohorts,SA Chemistry,SA Computer Science,Scholar College,College Forbes Ranking,College Forbes Ranking 2018,Intended Major,Intended Major STEM?,College Graduation Year,# Years of College,# of College Terms,Current Major,Current Major Category,Current Major STEM?,Reported Total GPA,GPA - Freshman Year,GPA - Sophomore Year,GPA - Junior Year,GPA - Senior Year,GPA - Super Senior,College Degree Earned Type,Estimated Student Loans at Graduation,6 Months Post College: Employment Status,6 Months Post College: Graduate School
a017000001JTPF1,Female,1,0,0,0,0,0,0,,0,1,Martin Luther King High School,2014,,3.5,,,300,200,870,Scholar Alumni,,2018 Spring,2014,2014,1,1,2,0,0,California Baptist University,651,651,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2018,4,10,Early Childhood Studies,Education,0,3.58,,,,,,B.A.,"20,000-29,999",,
a017000001JTPEV,Female,1,0,0,0,0,0,49318,3,237,0,Harbor Teacher Preparation Academy,2014,,3.51,,,530,530,1690,Scholar Alumni,,2018 Spring,2014,2014,1,1,2,0,0,"California State University, Dominguez Hills",651,651,EDUCATION.: Mathematics Teacher Education.,0,2018,4,6,Mathematics Education,Education,0,3.33,,,,,,B.S.,No Student Loans,,
a017000001JTPAx,Male,1,0,0,0,0,0,65000,4,259,0,Gardena High School,2013,,3.6,,,510,680,1780,Current Scholar,,2018 Fall,2013,,0,0,0,0,0,"California State University, Dominguez Hills",651,651,ENGINEERING.: Biomedical/Medical Engineering.,1,2021,8,5,Computer Science,Computer Science,1,3.26,,,,,,,,,
a017000001JTPEg,Female,1,0,0,0,0,0,15000,2,91,0,Lawndale High School,2014,,3.8,,,530,460,1420,Current Scholar,Community College,2019 Fall,2014,2014,1,1,2,0,0,City College of San Francisco,651,651,HISTORY.: History.,0,2022,8,10,Cognitive Psychology and Psycholinguistics.,Psychology,0,2.08,,,,,,,,,
a013900001WTX3C,Female,1,0,0,0,0,0,43000,5,146,1,Culver City High School,2016,3.6,3.67,,,490,490,1390,Current Scholar,,2019 Spring,2016,2016,1,1,2,0,0,Clark Atlanta University,651,651,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2020,4,5,"Business Administration, Management and Operations.",Business,0,3.13,,,,,,,,,
a013900001WSyNo,Male,0,1,0,0,0,0,66917,6,198,1,Verbum Dei High School,2016,3.15,3.25,,,450,420,1300,Current Scholar,,2019 Spring,2016,2016,0,1,1,0,0,Concordia University-Irvine,651,651,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Marketing/Marketing Management, General.",0,2021 W,4.5,4,Marketing.,Business,0,3,,,,,,,,,
a017000001QDC4S,Male,1,0,0,0,0,0,94819,4,378,1,Loyola High School,2015,,3.1,,303,520,520,1630,Current Scholar,Community College,2019 Spring,2015,,1,0,1,0,0,Cypress College,651,651,SOCIAL SCIENCES.: International Relations and Affairs.,0,2020,5,8,"Nursing/Registered Nurse (RN, ASN, BSN, MSN).",Health Professions,1,2.57,,,,,,,,,
a017000001JTP3y,Female,0,0,1,1,0,0,11837,4,47,1,Downtown Magnets High School,2012,,4.35,,,500,400,1340,Scholar Alumni,,2014 Fall,2012,,0,0,0,0,0,Daemen College,651,651,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Accounting and Related Services.",0,2016 W,3.5,10,Asian and Middle Eastern Studies,Area Studies,0,3.58,3.51,3.567,3.48,,,B.S.,,,
a013900001c2j2J,Male,0,1,0,0,0,0,25000,6,74,1,Middle College High School at Durham Technical Community College,2018,3.82,4.62,10,72,,,,Current Scholar,Summer Academy,2019 Fall,2018,,0,1,1,0,0,Delaware State University,651,651,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,2022,4,2,Computer Science.,Computer Science,1,3.57,,,,,,,,,
a017000001JTOoG,Male,0,1,0,0,0,0,45000,3,217,1,Alliance Marc and Eva Stern Math and Science School,2013,,4.34,,,730,640,2060,Current Scholar,Community College,2019 Spring,2013,2013,0,1,1,0,0,East Los Angeles College,651,651,ENGINEERING.: Computer Engineering.,1,2022,9,7,Computer Engineering.,Engineering,1,4,0.96,0,,,,,,,
a013900001WSyXI,Male,0,1,0,0,0,0,52000,2,316,1,Crenshaw High School,2016,3.286,3.586,14,182,800,650,2040,Current Scholar,Community College,2019 Spring,2016,2016,0,1,1,0,1,El Camino College,651,651,ENGINEERING.: Computer Engineering.,1,2022,6,6,Film/Cinema/Video Studies.,Visual and Performing Arts,0,2.5,,,,,,,,,
a013900001YJJRt,Male,1,0,0,0,0,0,0,3,0,1,California Academy Of Mathematics And Science,2018,3.8,4.05,,164,720,660,1380,Current Scholar,Summer Academy,2019 Fall,2018,2017,1,1,2,0,1,Franklin W Olin College of Engineering,651,651,ENGINEERING.,1,2022,4,2,Electrical and Electronics Engineering,Engineering,1,3.1,,,,,,,,,
a017000001Q8JGn,Female,1,0,0,0,0,0,0,4,0,1,Foshay Learning Center,2015,,3.81,24,178,580,530,1670,Current Scholar,Community College,2019 Fall,2015,,0,0,0,0,0,Glendale Community College,651,651,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Economics",0,2021,6,11,Accounting and Finance.,Business,0,3.76,,,,,,,,,
a017000001PslIy,Male,0,1,0,0,0,0,39630,5,135,1,Thomas Jefferson High School,2015,,3.889,12,226,380,560,1540,Current Scholar,Community College,2019 Fall,2015,2015,1,1,2,0,0,Glendale Community College,651,651,ENGLISH LANGUAGE AND LITERATURE/LETTERS.: English Language and Literature.,0,2022 W,6.5,8,Counseling Psychology.,Psychology,0,3.84,,,,,,,,,
a017000001JTPEe,Male,0,1,0,0,0,1,54542,3,262,1,Harbor Teacher Preparation Academy,2014,,4,,,620,590,1820,Current Scholar,Did Not Renew,2019 Spring,2014,2014,1,1,2,1,0,Los Angeles Harbor College,651,651,UNDECLARED.: Undeclared.,0,2020,6,7,Applied Psychology.,Psychology,0,3.89,,,,,,,,,
a017000001JTOoD,Male,0,1,0,0,0,0,0,4,0,1,San Pedro High School,2013,,3.6,,,480,520,1550,Scholar Alumni,Did Not Renew,2016 Spring,2013,2013,0,1,1,0,0,Los Angeles Harbor College,651,651,SOCIAL SCIENCES.: Anthropology.,0,2017,4,8,Sociology,Social Sciences,0,3.02,2.94,3.43,,,,,,,
a013900001Ukxm8,Female,0,1,0,0,0,0,29141,5,99,1,John C Fremont High School,2016,3.983,4.183,1,331,590,560,1740,Current Scholar,Community College,2019 Fall,2016,,0,0,0,0,0,Los Angeles Southwest College,651,651,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2020,4,5,Applied Mathematics.,Math and Stats,1,4,,,,,,,,,
a013900001WSyYL,Female,0,1,0,0,0,0,23953,5,81,1,Banning High School,2016,3.3,3.5,,,470,540,1610,Current Scholar,Break/Suspension,2019 Spring,2016,,0,0,0,0,0,Marymount California University,651,651,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Public Health.,0,2021,5,5,Social Work.,Public Administration and Social Services,0,0,,,,,,,,,
a017000001JTP3v,Female,1,0,0,0,0,0,9720,2,59,0,Los Angeles Center Enriched Studies,2012,,3.89,,,510,470,1490,Scholar Alumni,,2015 Spring,2012,,0,0,0,0,0,Notre Dame de Namur University,651,651,BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biochemistry.,1,2016,4,8,French,Foreign Language/Linguistics,0,2.83,3.06,2.836,2.393,,,B.S.,"Less than 5,000","Employed, full-time",Eventually
a017000001JTOp5,Male,1,0,0,0,0,0,13684,3,66,1,,2014,,3.617,,,,,,Current Scholar,,2019 Spring,2014,2014,0,1,1,0,0,Ohio State University-Newark Campus,651,651,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2019,5,9,Public Health Education and Promotion.,Health Professions,0,2.9,,,,,,,,,
a017000001JTOok,Male,1,0,0,0,0,0,40000,3,192,1,Leuzinger High School,2014,,3.8,,,440,580,1550,Scholar Alumni,Did Not Renew,2018 Spring,2014,2014,0,1,1,0,0,Santa Monica College,651,651,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2018,4,5,Civil Engineering; Communications,Engineering,1,3.92,,,,,,,,,
a017000001ON2As,Male,0,0,0,0,0,0,13942,3,67,1,Ojai Valley School,2014,2.93,3.11,,,,,1650,Current Scholar,Did Not Renew,2017 Fall,2014,,0,0,0,0,0,Santa Monica College,651,651,SOCIAL SCIENCES.: Political Science and Government.,0,2018,4,7,Political Science,Social Sciences,0,3.26,,,,,,,,,
a013900001WSyHy,Female,0,0,0,0,0,0,12000,3,58,1,Granada Hills High School,2016,3.071,3.071,,,520,540,1610,Current Scholar,Did Not Renew,2017 Fall,2016,,1,0,1,0,0,Santa Monica College,651,651,PSYCHOLOGY.: Psychology.,0,2018 W,1.5,1,political science,Social Sciences,0,2.5,,,,,,,,,
a017000001QCg3m,Female,1,0,0,0,0,0,61917,2,376,1,Juan Rodriguez Cabrillo Hs,2015,,3.96,,,640,540,1730,Scholar Alumni,,2019 Spring,2015,,1,0,1,0,0,Tuskegee University,648,651,ENGINEERING.: Electrical and Electronics Engineering.,1,2019,4,7,Electrical Engineering,Engineering,1,3.26,,,,,,B.S.,"10,000-19,999",,
a013900001WSyNZ,Female,0,1,0,0,0,0,48658,4,194,1,Granada Hills High School,2016,3.51,3.837,0,999,540,450,1490,Current Scholar,,2019 Fall,2016,2016,1,1,2,1,0,University of California-Merced,651,651,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2020 W,3.5,7,School of Natural Science,Biology,1,3.26,,,,,,,,,
a013900001c2jv1,Male,0,0,0,1,0,0,0,,0,1,Loyola High School,2018,3.65,4.014,,,730,600,1330,Current Scholar,Summer Academy,2019 Fall,2018,,0,1,1,1,0,University of California-Merced,651,651,MULTI/INTERDISCIPLINARY STUDIES.: Biological and Physical Sciences,1,2022,4,2,Computer Science.,Computer Science,1,4,,,,,,,,,
a013900001WTX1p,Male,0,1,0,0,0,0,23835,6,71,1,Alliance Judy Ivie Burton Technology High School,2016,3.55,3.92,9,133,680,550,1680,Current Scholar,,2019 Spring,2016,2016,1,1,2,0,1,University of California-Merced,651,651,ENGINEERING.: Mechanical Engineering.,1,2020 W,3.5,4,Mechanical Engineering.,Engineering,1,2.3,,,,,,,,,
a013900001XQcVh,Male,1,0,0,0,0,0,36735,6,109,1,Verbum Dei High School,2017,2.81,2.92,,,630,660,1290,Current Scholar,,2019 Fall,2017,2017,1,1,2,0,0,University of California-Merced,651,651,MATHEMATICS AND STATISTICS.: Applied Mathematics.,1,2021,4,4,Applied Mathematics.,Math and Stats,1,2.07,,,,,,,,,
